STATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JAN+FEB,MAM,JJAS,OND,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
PB,23.4,22.65,25.35,14.9,18.2,51.45,216.05,219.8,99.6,24.6,6.6,11.8,734.4,46.05,58.45,586.9,43,46.05,58.45,586.9,43
HP,81.925,80.45,87.63333333,47.68333333,54.35833333,108.6833333,343.825,322.325,150.2666667,39.30833333,16.90833333,38.225,1371.591667,162.375,189.675,925.1,94.44166667,162.375,189.675,925.1,94.44166666
JK,77.97727273,91.64545455,119.9863636,82.26818182,65.13636364,53.60454545,172.0909091,167.9181818,78.25454545,34.18181818,27.15909091,46.39545455,1016.618182,169.6227273,267.3909091,471.8681818,107.7363636,169.6227273,267.3909091,471.8681818,107.7363636
RJ,5.348484848,4.721212121,3.815151515,3.303030303,10.62727273,54.0969697,195.2787879,194.5545455,86.14545455,14.43030303,6.254545455,3.021212121,581.5969697,10.06969697,17.74545455,530.0757576,23.70606061,10.06969697,17.74545455,530.0757577,23.70606061
MP,12.892,9.158,7.486,3.27,7.006,114.686,311.088,331.048,181.574,35.27,10.042,8.79,1032.31,22.05,17.762,938.396,54.102,22.05,17.762,938.396,54.102
GJ,0.784615385,0.392307692,1.142307692,0.507692308,4.803846154,139.2461538,333.8384615,257.6307692,148.4730769,25.10384615,10.82692308,1.592307692,924.3423077,1.176923077,6.453846154,879.1884615,37.52307692,1.176923077,6.453846154,879.1884614,37.52307692
DN,0.4,0.3,0,0,7.4,385.1,884.5,655.9,391.4,38.6,10.5,0,2374.1,0.7,7.4,2316.9,49.1,0.7,7.4,2316.9,49.1
DD,0.55,0.5,0.2,0.1,4.15,276.5,583.1,394.6,227.6,35.55,12.4,0.45,1535.7,1.05,4.45,1481.8,48.4,1.05,4.45,1481.8,48.4
MH,4.791428571,3.474285714,5.997142857,6.974285714,19.92571429,240.98,388.8942857,314.5857143,191.3114286,75.64857143,18.58857143,7.417142857,1278.588571,8.265714286,32.89714286,1135.771429,101.6542857,8.265714285,32.89714286,1135.771429,101.6542857
GA,0.55,0.05,0.55,7.8,87.75,908.1,1108.1,683.8,280.9,155.7,35,10.2,3278.5,0.6,96.1,2980.9,200,0.6,96.1,2980.9,200.9
CG,10.37777778,10.47222222,12.97777778,13.11666667,17.48333333,180.5833333,375.4055556,375.3388889,214.4444444,61.84444444,8.494444444,5.811111111,1286.35,20.85,43.57777778,1145.772222,76.15,20.85,43.57777778,1145.772222,76.15
AD,6.32173913,7.352173913,10.09565217,19.87391304,48.76521739,114.3695652,185.3652174,179.426087,160.373913,138.6,58.96521739,15.56521739,945.073913,13.67391304,78.73478261,639.5347826,213.1304348,13.67391304,78.7347826,639.5347826,213.1304348
TN,18.90625,14.021875,18.06875,42.596875,67.53125,50.321875,72.60625,91.571875,116.340625,186.928125,184.625,96.4875,960.00625,32.928125,128.196875,330.840625,468.040625,32.928125,128.196875,330.840625,468.040625
PY,26.75,25.425,16.725,12.275,40.825,47.675,78.025,116.425,119.9,271.95,395.15,227.35,1378.475,52.175,69.825,362.025,894.45,52.175,69.825,362.025,894.45
KA,2.026666667,2.696666667,7.163333333,36.77333333,88.16666667,204.88,280.7,209.2566667,164.0766667,143.3566667,44.35,11.17,1194.616667,4.723333333,132.1033333,858.9133333,198.8766667,4.723333334,132.1033333,858.9133334,198.8766667
KL,9.542857143,16.2,31.07142857,109.0214286,244.7285714,658.7071429,724.3285714,417.95,245.1571429,290.9071429,151.5357143,38.24285714,2937.392857,25.74285714,384.8214286,2046.142857,480.6857143,25.74285714,384.8214286,2046.142857,480.6857143
